SNO,Title,Authors,Number of Authors,Year of Study,Number of Publications by Author,Publisher Site,Keywords
1,University Libraries and Digital Learning Environments,"Penny Dale ,Jill Beard ,Matt Holland",3,2021,3,IEEE,"Digital librarries,Electronics,Interface management,user interfaces"
2,"The Critical Review or Annals of Literature, 1756-1763 Vol 1",James G Basker,1,2022,4,IEEE,"Information Technology, Information Technology Management, IT "
3,Information and Communication Technologies Management in Digital Libraries CCS2020,FRANCISCO CARLOS PALETTA,1,2018,1,SCIENCE OPEN,"Digital Libraries, Trends, Research, Technologies"
4,Emerging Technology and Today's Libraries,Barbara Holland ,1,2020,2,SPRINGER,"Edge Computing , Django-Django"
5,Cluster Analysis and Network Visualization of Global Research on Digital Libraries during 2016–2020: A Bibliometric Mapping,"Dhruba Jyoti Borgohain , Manoj Kumar verma",2,2019,5,REASEARCH GATE,Digital libraries
6,Annals of Library and Information Studies,"Das, Saumen ; Verma, Manoj Kumar",3,2019,3,SCRIBD,Scientometrics; Bibliometrics; Authorship pattern; Digital libraries; Electronic libraries; Virtual libraries; Authorship index; Modified collaborative co-efficient; BRICS countries; Lotka's law
7,digital libraries are promising new societal benefits,Rahman. & Zakaria,2,2022,1,SCIENCE OPEN,"traditional library,IT 
service professional"
8,. Recent Trends in Digital Library Publications: A Scientometric Analysis. ,"Mahadevagouda, & Pavithrabai",2,2022,2,IEEE,"digital repository, digital library, and digital collection"
9,Global trends and emerging technologies in libraries,Ayo-Olafare,1,2020,2,SPRINGER,process of communication. Documentation and digitalization
10,Information technology management: it governance in digital library. Brazilian Journal of Development,"Paletta, F. C., & Silva, A. M. D.",3,2021,4,SCRIBD,"Information Technology, Information Technology Management, IT "
11,Discover Digital Libraries,IrisXiePhDKrystyna K.MatusiakPhD,2,2018,3,SCIENCE OPEN,"multilingual digital libraries,digital curation,model,definitions"
12,Digital Library Research: Developments and Trends,"Priya Suradkar ,Syed Fayyaz Mohsin",2,2017,4,SPRINGER,"Digital Libraries, Trends, Research, Technologies"
13,"Digital libraries: emergence features, challenges and opportunities","R K Bhatt,K P Singh",2,2022,5,IEEE,"Digital libraries, Visualization, Clustering"
14,Digital libraries in developing countries: fears and barriers,Das Subarna,1,2020,1,SCIENCE OPEN,"Digital librarries,Electronics,Interface management,user interfaces"
15,Digital libraries and society: New perspectives on information dissemination,Ian H. Witten,1,2018,4,SCIENCE OPEN,"Digital libraries, human-computer interaction, social issues in computing, developing countries, internationalization"
16,"A 3D Digital Library System: Capture, Analysis, Query, and Display","Jeremy Rowe,  Anshuman Razdan, Dan Collins, S. Panchanathan",4,2019,2,REASEARCH GATE,"Digital Library, Geometric Modeling, Image Databases, Information Visualization, Physically Based Modeling, Scientific Visualization, Shape Recognition, WWW Applications"
17,An improved recommender system to avoid the persistent information overload in a university digital library,"C. Porcel, J.M. Morales del Castillo, M.J. Cobo, A.A. Ruiz, E. Herrera-Viedma",5,2020,2,IEEE,"recommender systems, information overload, university digital libraries, fuzzy linguistic modeling"
18,Visual Classification with Information Visualization (Infoviz) for Digital Library Collections,Judith Gelernter,1,2021,1,SPRINGER,"Digital libraries, Visualization, Clustering"
19,The Digital IdeaKeeper: Extending Digital Library Services to Scaffold Online Inquiry,Chris Quintana & Meilan Zhang,2,2022,1,IEEE,"Digital library, Research, Visualization "
20,Awareness and Usage of UGC-Infonet Digital Library Consortium among Faculty Members of State Universities in Tamil Nadu: A Survey,S. Thanuskodi,1,2019,1,SCIENCE OPEN,"UGC-Infonet, Internet, e-resources, CD-ROM, e-journals, e-books, web sites, Information and Communication Technolgy"
21,Management of XML Documents in an Integrated Digital Library,David A. Smith Anne Mahoney Jeffrey A. Rydberg-Cox,3,2020,5,SCRIBD,"XML, Digital Library, Markup Library"
22,Nanoparticle Technology Saves Cultural Relics: Potential for a Multimedia Digital Library,"Piero Baglioni, Rodorico Giorgi",2,2021,2,IEEE,"Nanoparticles, Digital Libraries, Multi Media"
23,A Digital Library Framework based on XML,"Ioannis Papadakis, Vassilios Chrissikopoulos",2,2022,1,SPRINGER,"Digitallibraries,architecture,XML,metadata"
24,Squiggle Med: Semantic Search for Medical Digital Library,"I. Celino, A. Turati, E. Della Valle, D. Cerizza ",4,2022,3,SPRINGER,"Media Digital Library, Squiggle method, Semantic"
25,Dual three-phase induction motor drive with digital current control in the stationary reference frame," R. Bojoi,  E. Levi ,  F. Farina,  A. Tenconi,  F. Profumo ",5,2021,2,REASEARCH GATE,Drives; Asynchronous machines; Current control; Power convertors and power supplies to apparatus; Control of electric power systems
26,"Group-oriented (t, n) threshold digital signature scheme and digital multisignature",L. harn,1,2019,2,SCIENCE OPEN,Codes; Data security
27,Xampling: analog to digital at sub-Nyquist rates," M. Mishali,  Y.C. Eldar,  O. Dounaevsky, E. Shoshan ",4,2020,4,SPRINGER,integrated circuit design; signal reconstruction; analogue-digital conversion
